location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
Pallavaram,3,3,1685,1300,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,55263002
Sembakkam,2,2,1600,1000,Builder,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,South,18004354
East Coast Road,5,6,5071,150,Individual,New,New Construction,House & Villas,0,Unfurnished,Under Construction,East,1752766
Kelambakkam,3,4,2500,700,Builder,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,South,6586250
Iyyappanthangal,2,2,1400,640,Individual,Resale,Under Construction,House & Villas,0,Unfurnished,Ready to Move,East,8220926
Nanganallur,3,3,2250,240,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,12136114
Sadhashivam Nagar,2,2,2400,415,Others,New,New Construction,House & Villas,0,Furnished,Ready to Move,North East,4764000
Oragadam,3,2,1050,589,Builder,New,0 to 5 years,House & Villas,1,Unfurnished,Under Construction,South,6798035
Porur,2,3,1100,396,Builder,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,5340967
Madambakkam,3,4,1670,2422,Individual,Resale,Under Construction,House & Villas,0,Unfurnished,Ready to Move,East,11605979
Balaji Nagar,5,4,2222,680,Builder,New,Under Construction,House & Villas,0,Unfurnished,Upcoming,North,33900000
Raja Annamalai Puram,7,7,13500,650,Agent,Resale,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,South,1200000000
Valasaravakkam,4,4,2950,2160,Individual,New,10 to 15 years,House & Villas,1,Semi-Furnished,Under Construction,North,28755605
Guduvancheri,2,2,780,600,Builder,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,4464305
Kolathur,2,2,1200,1020,Individual,New,New Construction,House & Villas,1,Furnished,Ready to Move,East,5340967
Kovur,3,2,1932,410,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,12136114
Sholinganallur,3,3,1550,200,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,12136114
Muglivakkam,4,4,2550,600,Individual,New,New Construction,House & Villas,0,Unfurnished,Under Construction,North East,37638712
Mahindra City,2,2,750,1180,Individual,New,0 to 5 years,House & Villas,0,Furnished,Under Construction,North,3207974
neelankarai,6,6,6240,1200,Individual,Resale,15 to 20 years,House & Villas,0,Semi-Furnished,Ready to Move,North,1200000000
Anakaputhur,2,3,935,431,Individual,Resale,10 to 15 years,House & Villas,0,Furnished,Ready to Move,North,5340967
Kandigai,3,3,1253,490,Individual,New,Under Construction,House & Villas,2,Furnished,Ready to Move,North,8220926
Kolathur,2,2,900,650,Builder,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,5340967
Guduvancheri,3,2,928,150,Individual,New,Under Construction,House & Villas,0,Furnished,Under Construction,South East,6798035
Porur,2,3,1200,200,Individual,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,South East,5340967
Veppampattu,2,2,640,2090880,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North East,3833339
West Mambalam,6,6,2700,1100,Individual,New,New Construction,House & Villas,0,Furnished,Ready to Move,East,4764000
Guduvancheri,2,2,878,660,Individual,New,New Construction,House & Villas,0,Furnished,Under Construction,South,3492296
Porur,2,2,1200,1300,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,5340967
Porur,2,3,1200,1020,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,North,5340967
Guduvancheri,2,2,700,587,Builder,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,East,3207974
East Coast Road,1,1,540,627,Builder,New,0 to 5 years,House & Villas,0,Unfurnished,Upcoming,South,2406982
Singaperumal Koil,3,3,1545,650,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North,9168871
Kavankarai,1,1,500,675,Individual,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,North,2406982
Sithalapakkam,2,2,1050,380,Others,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,North,5340967
Tambaram,2,2,1500,1800,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,South,18004354
Tambaram,2,2,900,833,Individual,Resale,New Construction,House & Villas,1,Unfurnished,Ready to Move,South,5340967
Singaperumal Koil,2,2,1545,468,Builder,Resale,5 to 10 years,House & Villas,1,Furnished,Ready to Move,North,12136114
Omr,3,3,1200,430,Individual,Resale,5 to 10 years,House & Villas,0,Unfurnished,Ready to Move,South,6798035
Kelambakkam,5,5,1700,943,Individual,Resale,0 to 5 years,House & Villas,2,Unfurnished,Ready to Move,South,12569458
Kanathur,4,3,1050,600,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,South,6798035
East Coast Road,4,5,4029,520,Builder,New,Under Construction,House & Villas,-1,Furnished,Under Construction,East,21400011
Avadi,3,3,1400,1070,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,8220926
Kavankarai,2,2,700,4000,Individual,New,New Construction,House & Villas,0,Furnished,Ready to Move,South,3207974
Nanganallur,3,2,1800,520,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,12136114
Shenoy Nagar,2,1,1200,570,Individual,Resale,0 to 5 years,House & Villas,-1,Unfurnished,Ready to Move,South,5340967
Pammal,4,4,1950,940,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,South,18004354
Minjur,3,3,1800,1200,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,South,11605979
Guduvancheri,3,3,1550,1550,Builder,New,0 to 5 years,House & Villas,0,Semi-Furnished,Upcoming,South,11605979
Kovur,2,2,810,2439,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,4464305
Ramapuram,2,1,1500,429,Individual,Resale,5 to 10 years,House & Villas,1,Unfurnished,Ready to Move,North,30008480
Manali,2,2,650,850,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,South,3207974
Ambattur,3,2,2000,411,Builder,New,0 to 5 years,House & Villas,0,Unfurnished,Under Construction,South,13016328
Guduvancheri,1,2,600,1210,Individual,New,New Construction,House & Villas,-1,Unfurnished,Under Construction,North East,2406982
Thoraipakkam,4,3,1750,1750,Individual,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,East,18004354
Vandalur,4,3,2040,940,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,18004354
Mappedu,3,3,1400,660,Individual,Resale,Type,House & Villas,2,Unfurnished,Ready to Move,South,8220926
padappai,3,2,3600,2193,Individual,Resale,New Construction,House & Villas,0,Unfurnished,Ready to Move,North,28755605
Ra Puram,7,7,13500,967,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,South,135000000
Singaperumal Koil,3,2,1010,729,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Under Construction,North,6798035
Navalur,3,3,1200,10000,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,6798035
Guduvancheri,2,2,1100,950,Builder,Resale,Under Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,5340967
Palavakkam,2,2,900,945,Individual,New,New Construction,House & Villas,-1,Semi-Furnished,Ready to Move,East,5340967
Tambaram,3,3,1356,729,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North East,8220926
Ambattur,5,2,4000,2686,Individual,Resale,15 to 20 years,House & Villas,0,Semi-Furnished,Ready to Move,East,28755605
Urapakkam,2,2,950,1450,Individual,Resale,15 to 20 years,House & Villas,2,Semi-Furnished,Ready to Move,North,5340967
Padapai,2,2,750,2350,Individual,Resale,10 to 15 years,House & Villas,4,Unfurnished,Ready to Move,North,3207974
Tambaram,2,2,750,2803,Agent,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,South,3207974
Kolathur,2,3,1200,736,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,5340967
Kattupakkam,2,3,1800,700,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,9168871
Mogappair West,1,1,390,2400,Agent,Resale,New Construction,House & Villas,-1,Furnished,Ready to Move,East,1368843
neelankarai,3,3,2600,1200,Individual,Resale,0 to 5 years,House & Villas,1,Furnished,Ready to Move,East,40008000
Pudupakkam Village,3,4,3000,639,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,28221518
Avadi,2,1,798,1240,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Upcoming,East,43200000
padappai,3,2,956,592,Individual,New,Under Construction,House & Villas,0,Furnished,Ready to Move,North,6798035
Poonamale High Road,2,2,1000,1000,Agent,New,5 to 10 years,House & Villas,0,Unfurnished,Ready to Move,East,5340967
Vandalur,5,7,6825,800,Builder,New,0 to 5 years,House & Villas,1,Unfurnished,Under Construction,South,20000000
Tambaram,3,2,956,1200,Individual,New,Above 20 years,House & Villas,3,Semi-Furnished,Ready to Move,East,6798035
Chettipunniyam,2,2,776,523,Individual,Resale,Above 20 years,House & Villas,1,Semi-Furnished,Ready to Move,West,4464305
padappai,3,2,954,396,Individual,New,New Construction,House & Villas,-1,Unfurnished,Under Construction,East,6798035
Sithalapakkam,2,2,880,1200,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,4464305
Padapai,3,2,956,550,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,6798035
Kilpauk,3,3,2220,1120,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,North,11605979
Chengalpet,1,1,400,775,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Under Construction,West,980890
Madhavaram,3,4,1650,1070,Builder,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,South,11605979
Tambaram,2,2,750,775,Builder,New,New Construction,House & Villas,-1,Unfurnished,Ready to Move,South,3207974
Adyar,5,4,4000,690,Individual,Resale,New Construction,House & Villas,2,Unfurnished,Ready to Move,East,180000000
Nungambakkam,4,5,5000,500,Individual,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,North,7003200
Thiruverkadu,2,3,1130,420,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,5340967
Panayur,5,3,2600,600,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,6470737
Valasaravakkam,3,3,1900,780,Individual,Resale,0 to 5 years,House & Villas,-1,Unfurnished,Ready to Move,South,9168871
Tambaram,2,1,750,200,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,North,3207974
Manimangalam,2,1,750,6000,Agent,Resale,New Construction,House & Villas,0,Semi-Furnished,Under Construction,East,3207974
Manimangalam,3,1,956,2200,Individual,Resale,Under Construction,House & Villas,0,Unfurnished,Ready to Move,South East,6798035
Kundrathur,2,2,683,805,Builder,New,New Construction,House & Villas,0,Unfurnished,Under Construction,South,3207974
Guduvancheri,3,2,1239,950,Agent,New,0 to 5 years,House & Villas,2,Semi-Furnished,Ready to Move,South,115000000
Ambattur,4,4,1700,780,Individual,New,New Construction,House & Villas,1,Unfurnished,Under Construction,North East,13016328
Iyyappanthangal,2,2,911,1062,Individual,New,Under Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,5340967
Velachery,4,4,1400,690,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North,9184526
Oragadam,3,2,1050,800,Builder,New,New Construction,House & Villas,0,Unfurnished,Under Construction,North,6798035
Medavakkam,3,3,1600,1159,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,11605979
Avadi,1,1,800,880,Individual,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,North,3492296
Iyyappanthangal,2,2,1100,1196,Individual,Resale,Under Construction,House & Villas,0,Furnished,Ready to Move,East,5340967
Keelkattalai Duraisamy Nagar,3,3,1200,15200,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,6798035
Perambur,2,2,1400,1000,Builder,New,New Construction,House & Villas,0,Furnished,Ready to Move,South,8220926
Anna Nagar,3,4,3000,1222,Individual,New,Under Construction,House & Villas,2,Unfurnished,Ready to Move,East,28755605
Vadapalani,4,5,2400,100,Individual,New,0 to 5 years,House & Villas,1,Semi-Furnished,Under Construction,East,13964714
Tambaram Mudichur Road,4,5,1650,1400,Builder,New,0 to 5 years,House & Villas,2,Unfurnished,Under Construction,East,8722378
Sithalapakkam,2,3,900,800,Builder,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,North,5340967
Madipakkam,3,2,1800,1551,Individual,Resale,0 to 5 years,House & Villas,-1,Unfurnished,Ready to Move,South,11605979
Saligramam,2,2,750,879,Individual,Resale,10 to 15 years,House & Villas,0,Furnished,Ready to Move,South,3207974
Chengalpattu,2,2,1012,418537,Individual,New,New Construction,House & Villas,0,Furnished,Under Construction,South,5340967
Purasawalkam,6,5,2500,974,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,6470737
Choolai,1,1,1800,4301,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,West,120000000
East Coast Road,2,2,1280,726,Individual,New,Above 20 years,House & Villas,1,Unfurnished,Ready to Move,West,8220926
Kolathur,2,2,900,671,Builder,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,5340967
Valasaravakkam,4,4,2500,521,Individual,New,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,North,480000
Kundrathur,2,2,800,1262,Individual,New,New Construction,House & Villas,0,Furnished,Under Construction,North West,3492296
Anakaputhur,2,3,1100,1288,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,5340967
Mangadu,2,3,1150,500,Agent,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,East,5340967
Villivakkam,2,2,2600,346,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,7938000
Gowrivalkkam,4,4,1904,1200,Builder,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,North,11605979
Tambaram,2,2,625,1663,Individual,New,New Construction,House & Villas,0,Furnished,Under Construction,North West,1974663
Muggappair,3,2,624,650,Individual,Resale,5 to 10 years,House & Villas,0,Unfurnished,Ready to Move,West,1974663
Guduvancheri,3,3,1450,300,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,8220926
Veppampattu,2,2,750,2800,Individual,Resale,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,South,3207974
Perambur,5,4,2500,8635,Individual,Resale,New Construction,House & Villas,0,Furnished,Ready to Move,North,30002400
Ra Puram,8,8,14898,600,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,North,135000000
Madambakkam,2,3,1100,150,Individual,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,South,5340967
Guduvancheri,2,2,813,550,Individual,New,Under Construction,House & Villas,0,Furnished,Ready to Move,East,3492296
Triplicane,1,1,700,1008,Individual,Resale,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,East,3207974
Thiruneermalai Main Road,4,3,8000,600,Individual,New,0 to 5 years,House & Villas,1,Furnished,Under Construction,East,7003200
Arumbakkam,3,3,1340,600,Individual,New,Under Construction,House & Villas,0,Unfurnished,Ready to Move,East,8220926
East Coast Road,2,2,900,850,Individual,New,Under Construction,House & Villas,0,Semi-Furnished,Under Construction,North,5340967
Pallikaranai,3,3,1850,1000,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,South East,18004354
Nanganallur,2,2,2000,800,Individual,New,New Construction,House & Villas,0,Furnished,Ready to Move,South,9168871
Kalpakkam To Vandalur Road,4,3,2000,1000,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,South East,11605979
Kolathur,5,5,5400,680,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,North,28221518
Ambattur,2,2,1000,1000,Others,New,New Construction,House & Villas,-1,Unfurnished,Under Construction,North East,5340967
Guduvancheri,3,2,840,1400,Individual,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,East,3492296
Mangadu,3,3,1579,1200,Builder,New,New Construction,House & Villas,1,Semi-Furnished,Ready to Move,East,11605979
Omr,2,2,1260,740,Individual,New,New Construction,House & Villas,1,Unfurnished,Ready to Move,East,8220926
Palavakkam,3,3,3000,600,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,North,21400011
East Coast Road,3,3,1800,850,Individual,New,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,North East,13016328
Raja Annamalai Puram,7,8,14938,650,Individual,New,Under Construction,House & Villas,1,Semi-Furnished,Ready to Move,South,1200000000
Tambaram,3,3,1400,1000,Individual,New,Under Construction,House & Villas,1,Unfurnished,Under Construction,East,8220926
Jafferkhanpet,6,6,3800,793,Builder,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,East,26074461
Kanathur,2,2,2400,1050,Individual,Resale,5 to 10 years,House & Villas,0,Unfurnished,Ready to Move,West,37638712
Red Hills,1,1,500,1800,Individual,Resale,Type,House & Villas,0,Unfurnished,Ready to Move,South,1974663
Valasaravakkam,4,4,2565,100,Builder,New,10 to 15 years,House & Villas,0,Furnished,Ready to Move,North,40008000
Oragadam,2,2,1136,633,Individual,Resale,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,East,5340967
Adambakkam Ganesh Nagar,2,2,1350,775,Individual,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,23500000
Porur,3,4,2000,3200,Others,Resale,0 to 5 years,House & Villas,0,Furnished,Ready to Move,East,18004354
Karapakkam,3,3,2250,2000,Individual,Resale,Under Construction,House & Villas,1,Unfurnished,Ready to Move,East,11605979
Porur,4,2,4800,800,Builder,New,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,North,28221518
Iyyappanthangal,2,1,400,800,Individual,Resale,10 to 15 years,House & Villas,1,Furnished,Ready to Move,East,980890
Tambaram,2,2,850,1700,Individual,Resale,New Construction,House & Villas,0,Semi-Furnished,Ready to Move,South,3492296
Koyambedu,4,3,1800,1800,Individual,Resale,New Construction,House & Villas,0,Unfurnished,Ready to Move,North,11605979
Kellys,30,2,3600,2000,Individual,Resale,Above 20 years,House & Villas,0,Semi-Furnished,Ready to Move,North,28755605
Madhavaram,2,2,716,4000,Others,Resale,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,South,3207974
Kattankulathur,3,2,800,1800,Individual,New,5 to 10 years,House & Villas,0,Semi-Furnished,Ready to Move,East,4464305
Porur,2,2,5200,2500,Individual,New,0 to 5 years,House & Villas,1,Unfurnished,Ready to Move,South,28755605
Muggappair,3,3,1404,2215,Individual,Resale,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,East,8220926
