location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
Avadi,4,4,1200,572,Builder,New,5 to 10 years,House & Villas,0,Semi-Furnished,Ready to Move,East,7077166
Avadi,4,3,1200,430,Individual,New,5 to 10 years,House & Villas,0,Semi-Furnished,Ready to Move,East,6798035
Kovur,2,2,650,480,Builder,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,North West,3207974
Avadi,2,2,645,1100,Individual,New,0 to 5 years,House & Villas,0,Furnished,Ready to Move,North,3207974
Avadi,1,2,645,800,Individual,New,0 to 5 years,House & Villas,-1,Semi-Furnished,Upcoming,East,4900000
Porur,2,2,850,660,Builder,New,Under Construction,House & Villas,0,Unfurnished,Under Construction,South East,3492296
Guduvancheri,5,5,2500,800,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,South,37638712
Anna Nagar,2,2,800,2575,Individual,Resale,New Construction,House & Villas,0,Furnished,Ready to Move,East,3492296
Chengalpattu,3,3,1816,1200,Agent,New,0 to 5 years,House & Villas,0,Unfurnished,Ready to Move,South,11605979
Thiruninravur,3,3,1600,999,Builder,New,New Construction,House & Villas,1,Furnished,Ready to Move,North,18004354
